last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
James, Josh,R,89.4,,,96.7,,39.4,75
Alcantara, Sandy,R,89.4,88.6,,87.3,,16.1,47.3
Marshall, Evan,R,89.4,92,,95.7,,,61.8
Cisnero, José,R,89.3,89.4,,92,,25.9,
Velasquez, Vince,R,89.3,85.8,,96.4,,33,67.7
Kershaw, Clayton,L,89.2,,,,,48.7,79.9
Darvish, Yu,R,89.2,89.3,35.9,,,54,78.3
Pomeranz, Drew,L,89.2,,,,,,76.7
Montgomery, Jordan,L,89.1,90.3,69.6,99.6,,,40.4
deGrom, Jacob,R,89,,,89.6,,37.8,55.8
Rainey, Tanner,R,89,,,,,28.3,
Garrett, Braxton,L,88.9,,,88.5,,,72.3
Woodruff, Brandon,R,88.9,89.2,,97.2,,23.4,59.5
Boxberger, Brad,R,88.9,,,93,,53.5,
Fulmer, Michael,R,88.8,91.7,,93.5,,41,70.7
Bundy, Dylan,R,88.8,89.1,,93.6,,25.9,76.5
Hand, Brad,L,88.8,89.6,,,,52,
Voth, Austin,R,88.7,,46,,,,66.1
Maeda, Kenta,R,88.7,81.5,39.1,,,18.5,60
McGowin, Kyle,R,88.6,85,,,,40.1,
Barnes, Jacob,R,88.6,,46.3,,,,
Dugger, Robert,R,88.5,89.4,,,,33.3,65.7
Thielbar, Caleb,L,88.5,,43.9,,,43.2,99.7
Díaz, Jairo,R,88.5,85.9,,,,28,
May, Trevor,R,88.4,88.9,,96.7,,38.5,
Reed, Cody,L,88.3,90,,90.3,,32.6,
Knebel, Corey,R,88.3,,,,,,92.7
Houser, Adrian,R,88.3,84.5,,92.1,,33.9,95.4
Martin, Brett,L,88.2,86.6,,,,37.5,47.8
Andriese, Matt,R,88.1,85.1,19,30.3,,,68.6
Gibson, Kyle,R,88.1,86.6,,86.4,,35.7,58
Corbin, Patrick,L,88.1,86,,97.3,,21.5,30
Pérez, Cionel,L,87.9,,,,,35.7,
Altavilla, Dan,R,87.7,,,,,29.1,
Biagini, Joe,R,87.7,88,53.9,70.7,,,75.8
Farrell, Luke,R,87.7,,,,,16.1,61.9
Slegers, Aaron,R,87.7,88.5,,80.6,,24.6,
Rea, Colin,R,87.5,88.7,38.7,,,,69.1
Hill, Cam,R,87.4,,,,,30.1,99.2
Wilson, Bryse,R,87.4,92.4,,94.6,,46.7,54.6
Nova, Iván,R,87.3,88.2,,99.6,,,63.3
Smith, Will,L,87.3,,,,,25.1,57.7
Thompson, Ryan,R,87.3,89.7,,,,81.7,
Mills, Alec,R,87.1,86.6,,87.3,,56,80.6
Stammen, Craig,R,87,92.3,47.3,,,,74.1
Brubaker, JT,R,87,87.1,,85.5,,19.7,62.7
Loáisiga, Jonathan,R,86.9,86.4,,95.1,,,49.1
Gott, Trevor,R,86.9,,42.8,,,,87.1
Zimmer, Kyle,R,86.8,,,91.3,,28.4,90.4
Newcomb, Sean,L,86.7,,,96,,72.5,93.7
Neris, Héctor,R,86.7,89.1,,,,,
García, Luis,R,86.5,88.1,,,,46.9,
Wheeler, Zack,R,86.4,88.2,,96.2,,27.2,75.9
Cordero, Jimmy,R,86.2,86.4,62.9,96,,22.9,51.7
Matzek, Tyler,L,86.1,,37.9,,,51.8,69.5
Holland, Greg,R,86,,,,,33.8,59.7
Bassitt, Chris,R,86,90.1,48.6,96.8,,73.3,96
Soria, Joakim,R,85.9,,,69.9,,75.3,99.1
Woodford, Jake,R,85.8,89.4,,,,33.6,98.5
Gallen, Zac,R,85.7,,44.6,91.8,,43.5,66
Morton, Charlie,R,85.6,89,22.5,,,,78.6
Fulmer, Carson,R,85.4,,24.5,89,,,52.9
Brach, Brad,R,85.4,85.2,50.3,73.4,,39.1,
Graveman, Kendall,R,85.4,88,59,84,,38,66.6
Urías, Julio,L,85.4,,,94.3,,33.9,49.7
Hatch, Thomas,R,85.4,86.7,34.1,47.6,,,
Taylor, Josh,L,85.3,88,,,,30.6,
King, Michael,R,85.1,83.1,,97.7,,,43.4
Dunning, Dane,R,85,82.9,,98.1,,39.5,99
Yajure, Miguel,R,84.9,,54.3,88.5,,,76.6
Lail, Brady,R,84.9,83.9,,90.4,,38.4,60.8
Armstrong, Shawn,R,84.9,,45.5,,,60.1,
Zuber, Tyler,R,84.7,,,90.6,,52,74.8
Flaherty, Jack,R,84.6,77.6,,78,,47.5,88
Toussaint, Touki,R,84.5,77.9,,,,30.9,89.4
Castellanos, Humberto,R,84.2,83.1,,96.5,,53,47.8
Ramirez, Yohan,R,84.2,,,,,55.2,
Duffey, Tyler,R,84.2,,,,,,52
Smith, Josh A.,R,84.1,80.1,,92.7,,44.9,73.3
Soto, Gregory,L,84,85.1,,,,33.3,
Hale, David,R,83.9,81.8,,96,,,46
Volquez, Edinson,R,83.9,86,,90.8,,,57.2
Kim, Kwang Hyun,L,83.7,,,92.7,,34.7,60.6
Davis, Wade,R,83.6,,36.8,87.3,,,73.1
Freeland, Kyle,L,83.5,77.4,,94.6,,21.1,53.7
Crowe, Wil,R,83.4,78.3,,74.6,,41.3,
Samardzija, Jeff,R,83.3,87.7,56.2,,,42.3,
Bumgarner, Madison,L,83.3,,42.3,,,,62.8
Patiño, Luis,R,83.2,,,90.7,,50.5,
Treinen, Blake,R,83.2,89.4,45.2,,,28.6,
Carrasco, Carlos,R,83.2,82.3,,67.8,,24.7,55.2
Peralta, Freddy,R,83,,,,,53.8,62.2
Williams, Taylor,R,82.9,,,,,11.5,
Kay, Anthony,L,82.9,,,91.2,,,71.4
Widener, Taylor,R,82.9,,,87.1,,38.3,
Wright, Kyle,R,82.8,83,,97.8,,25.1,65.9
Menez, Conner,L,82.8,,,,,27.8,57
Cease, Dylan,R,82.8,,,90.8,,51.1,94.8
Eshelman, Thomas,R,82.7,83.6,,92,,40.4,69.8
Yamamoto, Jordan,R,82.6,83,30.2,,,70,88.9
García, Rony,R,82.6,,,93.5,,28.2,
Webb, Logan,R,82.5,86,49.4,86.8,,53.3,
Vincent, Nick,R,82.4,85.7,60.4,97.4,,27,
Sims, Lucas,R,82.4,,,,,,60.2
Lester, Jon,L,82.3,82.1,58.6,80.1,,,62.6
Rogers, Tyler,R,82.3,77.8,,,,68.1,
Barlow, Scott,R,82.1,,,,,50.9,87.3
Soroka, Mike,R,82,83.8,,97.8,,44.4,
Holder, Jonathan,R,82,,42.6,91.4,,61.3,74.6
